Trial ,Well ,Dose ,Minute ,TD ,MV 
3,B2,1,3,743.305,12.5698
3,A4,1,3,630.196,10.8094
1,A1,1,14,612.497,10.3929
3,B2,1,4,595.759,10.7407
3,A4,1,2,591.972,10.0163
3,A4,1,1,582.094,10.4316
1,A4,1,14,579.257,9.89041
3,A4,1,5,578.494,10.1193
1,A1,1,23,566.546,9.72318
1,A3,1,10,561.091,9.53142
1,A1,1,10,557.82,9.51897
1,A1,1,24,548.749,9.45019
3,B1,1,1,544.628,9.7138
1,A1,1,22,541.972,9.28022
3,A4,1,24,540.097,9.06698
3,B2,1,23,540.03,9.46855
3,A4,1,4,537.725,9.3679
3,B1,1,12,527.2,8.9103
1,A4,1,15,518.861,9.33189
1,A1,1,11,518.181,8.80249
3,B2,1,15,514.547,9.05879
3,B2,1,12,513.133,8.72663
1,A6,1,24,512.886,8.99786
1,A4,1,10,511.955,8.71649
3,A4,1,14,510.938,8.70904
1,A2,1,21,502.352,8.60671
3,A4,1,13,499.47,8.50392
3,B2,1,24,497.011,8.59372
3,B1,1,2,494.313,8.35446
1,A2,1,19,491.288,8.25221
3,A4,1,15,490.158,8.47523
3,B2,1,13,487.472,8.347
3,B1,1,3,479.593,8.17477
3,B2,1,14,475.738,8.28319
1,A1,1,2,474.977,8.03672
1,A4,1,11,473.568,8.03555
3,B2,1,5,473.493,8.32626
1,A3,1,20,469.502,7.98009
1,A1,1,9,467.661,7.95782
1,A1,1,15,465.752,8.34669
3,B2,1,25,462.661,8.09781
1,A1,1,3,457.338,7.69487
1,A1,1,25,456.465,7.82501
3,A4,1,12,454.008,7.68192
1,A1,1,12,450.823,7.71505
1,A1,1,5,445.113,7.613
2,A1,1,2,444.455,7.88963
1,A2,1,20,443.389,7.47695
1,A6,1,21,433.273,7.30225
1,A4,1,21,430.598,7.28992
1,A1,1,1,429.754,7.24295
3,A6,1,23,428.713,7.30336
3,A3,1,10,425.47,7.17075
1,A3,1,9,422.338,7.31523
2,A1,1,1,420.05,7.44319
3,A3,1,1,418.125,8.74117
1,A6,1,11,414.98,7.04142
2,A2,1,2,414.912,7.02042
1,A2,1,25,406.747,6.9568
1,A6,1,25,406.184,7.05172
3,B1,1,13,406.102,6.82133
1,A2,1,4,405.599,6.94112
2,A1,1,3,404.931,7.15415
1,A3,1,25,403.906,7.2644
1,A1,1,4,403.269,6.8234
2,A2,1,24,401.923,6.81601
3,A4,1,25,399.425,6.73935
3,A6,1,1,399.237,7.64812
1,A1,1,21,398.736,6.72395
1,A4,1,3,396.846,6.69962
1,A5,1,12,396.551,7.11932
1,A4,1,1,390.506,6.62989
1,A1,1,13,386.933,6.52858
1,A4,1,4,385.779,6.56449
1,A2,1,23,383.497,6.5405
1,A6,1,23,378.13,6.45999
1,A4,1,9,377.667,6.45209
3,A3,1,12,374.477,6.36497
1,A3,1,3,374.141,6.37007
3,A3,1,9,373.768,6.30645
3,B1,1,11,372.321,6.28204
1,A2,1,18,371.996,6.29071
1,A3,1,19,371.354,6.29405
1,A6,1,20,369.501,6.21698
1,A5,1,14,368.89,6.30573
2,A1,1,5,364.658,6.50779
2,A2,1,25,361.532,6.20115
2,A2,1,6,358.81,6.11251
1,A6,1,10,356.785,6.04711
2,B1,1,5,355.864,5.96411
1,A4,1,2,355.349,6.02277
2,A4,1,21,354.172,6.20621
1,A3,1,16,353.582,5.99284
1,A2,1,14,352.88,6.00469
1,A2,1,24,349.753,6.04055
1,A2,1,3,347.929,5.84418
1,A3,1,17,346.842,5.91536
3,A6,1,3,345.264,6.25092
1,A3,1,14,344.613,5.94836
2,A2,1,23,343.819,5.79462
3,A6,1,24,341.803,5.85939
1,A3,1,18,341.67,5.87728
1,A4,1,5,338.792,5.91252
1,A5,1,25,338.713,5.8264
3,A6,1,2,337.302,6.18894
2,A2,1,14,336.751,5.65961
3,A6,1,12,334.461,5.68481
1,A6,1,6,332.863,5.57864
3,A6,1,13,331.378,5.77306
1,A2,1,5,329.628,5.64101
1,A2,1,11,329.314,5.57522
1,A4,1,20,327.931,5.54242
1,A3,1,5,326.745,5.69234
3,A3,1,11,326.543,5.6042
1,A6,1,9,325.794,5.51562
3,A6,1,5,325.685,5.74392
3,B1,1,4,323.155,5.56836
1,A3,1,24,322.375,5.89342
3,B1,1,21,321.148,5.41559
1,A3,1,23,320.559,5.76191
2,A2,1,3,319.519,5.38509
1,A2,1,2,319.475,5.4056
1,A2,1,12,314.974,5.33545
1,A4,1,12,314.497,5.3064
1,A1,1,16,314.205,5.31043
3,A3,1,8,313.398,5.26123
1,A6,1,12,313.204,5.27273
2,A2,1,7,312.642,5.23682
3,B1,1,23,312.001,5.24659
1,A2,1,16,311.558,5.21867
1,A3,1,21,310.409,5.27601
1,A5,1,22,310.013,5.43874
1,A2,1,8,309.663,7.25196
2,A1,1,4,307.635,6.91305
1,A2,1,13,307.563,5.21287
2,A2,1,8,306.793,5.14458
2,B1,1,12,301.593,5.09154
3,B1,1,15,299.496,5.10788
1,A2,1,1,297.686,5.05116
3,A6,1,4,295.988,5.25726
1,A5,1,21,294.812,5.01659
2,A4,1,20,292.769,5.01882
1,A2,1,9,292.598,4.92582
2,B1,1,13,292.088,4.95617
2,A6,1,7,291.839,4.89383
1,A5,1,13,290.556,5.05015
2,B1,1,3,289.864,4.92123
1,A2,1,15,288.693,5.18603
2,A3,1,8,288.11,4.83129
2,A2,1,15,286.684,4.82627
2,A2,1,13,286.621,4.88274
2,B2,1,15,286.36,4.85349
3,A3,1,2,285.732,7.67398
2,B1,1,15,282.65,4.75835
3,A4,1,23,282.111,4.74927
3,A6,1,15,281.858,4.84841
3,A3,1,6,281.295,4.76496
1,A2,1,7,280.666,5.07219
3,A2,1,1,280.085,5.03743
1,A5,1,15,278.973,5.11557
1,A4,1,7,278.641,5.02349
2,A2,1,1,275.077,4.795
1,A3,1,12,273.357,4.79847
2,B1,1,11,273.268,4.67385
2,A2,1,11,272.807,4.64477
1,A6,1,22,272.699,4.61412
2,A2,1,20,272.211,4.69593
1,A6,1,19,269.778,4.55957
2,B1,1,2,268.702,4.55163
3,A2,1,4,268.557,4.62756
3,B2,1,21,266.971,4.50451
2,B1,1,24,266.757,4.51105
2,A3,1,9,265.7,4.46049
1,A1,1,19,264.707,4.4463
2,A2,1,5,264.654,4.4504
2,B1,1,1,264.562,4.62245
2,B1,1,14,264.326,4.47246
1,A5,1,24,264.214,4.65979
2,A6,1,2,263.71,4.58354
2,B2,1,24,261.497,4.46234
2,A2,1,21,260.374,4.52032
2,A3,1,7,260.319,4.36527
1,A3,1,11,259.868,4.60209
1,A1,1,20,259.509,4.34682
1,A1,1,18,258.986,4.37964
2,A2,1,22,256.815,4.44055
1,A3,1,13,256.49,4.45804
3,B1,1,24,256.006,4.28815
1,A2,1,17,255.819,4.31634
2,A2,1,12,254.384,4.3091
1,A1,1,6,254.232,4.28475
1,A5,1,23,254.069,4.37038
1,A4,1,13,252.295,4.26169
2,B2,1,12,250.982,4.27562
2,B1,1,4,250.953,5.27205
2,A3,1,14,249.082,4.20504
2,B2,1,23,248.7,4.29034
1,A1,1,17,247.963,4.17676
2,B2,1,22,247.792,4.33448
2,B2,1,3,247.098,4.17154
2,B2,1,14,244.937,4.17738
3,A6,1,14,244.56,4.23353
2,A6,1,3,244.058,4.23461
2,B2,1,11,244.039,4.15261
3,A3,1,5,243.806,4.22047
2,A3,1,25,243.467,4.17604
1,A3,1,15,242.374,4.43902
2,B1,1,23,241.856,4.0716
2,A1,1,22,241.206,4.24652
2,B3,1,5,239.038,4.01514
2,A4,1,2,238.361,4.03768
3,A3,1,15,237.833,4.07243
1,A3,1,4,237.595,4.05677
1,A2,1,22,237.116,4.09521
2,A6,1,11,236.78,4.08471
2,B1,1,25,236.736,4.0467
2,A3,1,15,235.717,4.02242
2,A6,1,5,235.166,3.94568
2,A3,1,6,234.09,3.98332
3,A3,1,4,233.439,4.02706
2,A3,1,10,233.313,3.92557
2,A3,1,24,232.907,4.01097
2,A3,1,12,232.447,3.94642
2,A2,1,19,232.379,4.02035
2,A3,1,13,230.596,3.94175
1,A4,1,19,230.354,3.88668
1,A2,1,6,229.944,3.86238
2,A4,1,1,228.895,3.99463
3,A3,1,7,227.969,4.14484
2,B2,1,13,227.958,3.89002
2,B2,1,2,227.697,3.85703
2,B2,1,21,227.67,3.97787
2,A3,1,3,226.808,3.83116
1,A6,1,18,226.379,3.81534
3,A3,1,13,225.924,3.80979
2,A4,1,19,225.874,3.90329
2,A4,1,3,225.173,3.79499
2,B2,1,1,225.054,3.92759
2,A6,1,1,224.089,4.03759
2,B1,1,21,223.83,3.88589
2,B3,1,13,221.68,3.80018
2,B3,1,23,221.437,3.79386
2,A3,1,5,220.538,3.70025
2,B1,1,22,220.112,3.79499
2,A6,1,21,219.311,3.89304
3,A5,1,24,218.779,3.69346
1,A5,1,5,218.556,3.7552
1,A3,1,6,216.706,3.65642
2,B2,1,25,216.675,3.7165
2,A3,1,2,216.316,3.66011
3,A3,1,25,216.26,3.64273
2,B3,1,14,216.243,3.65065
2,A2,1,4,216.038,4.53855
2,A6,1,23,215.349,3.69799
3,B1,1,6,215.166,3.61618
2,A3,1,1,215.128,3.74999
2,A6,1,25,215.017,3.70075
2,A6,1,8,213.556,4.02424
1,A6,1,17,213.511,3.60453
3,A6,1,11,213.087,4.45783
1,A4,1,8,212.053,5.02092
3,A3,1,3,212.016,3.61797
2,B3,1,12,211.801,3.60815
2,B2,1,7,211.76,3.54702
3,A2,1,2,211.716,3.57824
1,A1,1,8,208.504,4.98012
2,A3,1,11,208.289,3.54428
2,B3,1,2,208.076,3.51673
2,B3,1,15,207.704,3.53634
2,A3,1,23,207.01,3.56909
3,A5,1,7,206.475,3.75404
2,A6,1,13,203.792,3.48358
2,A6,1,24,203.463,3.45239
3,A5,1,9,203.254,3.42944
2,B3,1,3,203.224,3.43473
3,A2,1,5,202.344,3.47467
1,A3,1,8,200.325,4.75825
2,A6,1,14,199.954,3.38517
2,A6,1,22,199.294,3.50249
1,A3,1,22,198.885,3.45682
3,A3,1,22,198.338,3.56932
2,A6,1,12,198.217,3.38829
1,A2,1,10,197.211,3.32
1,A6,1,13,196.678,3.30732
2,A3,1,21,196.472,3.44885
2,A4,1,5,195.719,3.29673
3,B2,1,2,193.187,3.25042
2,B3,1,11,192.971,3.29672
2,B2,1,5,192.564,3.2309
2,B2,1,6,192.279,3.27557
2,A3,1,22,191.732,3.41155
1,A6,1,15,191.371,3.39707
1,A6,1,8,190.4,4.40056
2,A4,1,15,189.878,3.2164
2,A6,1,6,188.713,3.28192
2,A6,1,10,188.421,3.19714
1,A4,1,22,188.125,3.17954
3,A6,1,25,188.059,3.19824
3,A2,1,3,187.349,3.19341
2,B3,1,21,187.255,3.29091
3,A5,1,8,186.588,3.13237
3,B1,1,9,185.242,3.12552
2,B2,1,17,184.858,3.14916
1,A1,1,7,183.137,3.29774
2,B3,1,1,182.615,3.18695
2,A4,1,22,182.192,3.15571
2,B2,1,4,181.442,3.8171
1,A6,1,14,181.277,3.03982
2,B2,1,20,179.949,3.08128
3,A5,1,11,177.513,3.01035
1,A4,1,6,177.407,3.00009
2,A4,1,18,176.552,2.97891
2,A4,1,4,176.153,3.70324
1,A6,1,16,176.007,2.94159
2,A6,1,15,175.963,2.98744
2,B3,1,25,174.596,2.97265
2,B3,1,24,174.305,3.01215
2,A3,1,4,174.284,3.66137
2,A4,1,25,174.178,2.97566
2,A6,1,9,173.259,2.93489
3,A3,1,21,172.004,2.90053
3,B1,1,10,171.954,2.89806
2,B3,1,4,171.352,3.59979
2,B3,1,22,170.858,2.99922
2,A3,1,20,169.361,2.90662
2,A3,1,16,168.685,2.975
3,B1,1,8,168.052,2.8212
2,A2,1,10,166.987,2.80647
3,A5,1,22,166.092,2.98543
3,A4,1,22,165.881,2.98164
3,A5,1,12,165.254,2.79299
3,A3,1,24,164.299,2.7582
3,A5,1,21,162.665,2.74304
2,A6,1,4,161.591,3.41385
3,A4,1,16,161.239,2.86387
2,B2,1,8,159.802,2.68873
2,A3,1,18,158.846,2.6862
3,B1,1,7,155.608,2.82919
2,A6,1,16,155.198,2.7517
2,B1,1,18,154.775,2.61147
1,A4,1,23,153.978,2.5951
2,A4,1,24,152.812,2.58707
2,A4,1,14,152.049,2.56404
3,A5,1,23,151.325,2.54467
3,A5,1,10,151.267,2.55804
2,B1,1,20,150.158,2.58296
1,A3,1,2,149.942,2.53278
3,B1,1,22,148.422,2.66782
3,B2,1,11,147.451,2.50906
3,B1,1,20,147.091,2.6923
2,B1,1,19,146.687,2.53488
3,A5,1,18,144.821,2.46711
3,A3,1,18,143.627,2.44677
2,A4,1,17,143.532,2.4286
1,A5,1,16,143.206,2.40141
3,A5,1,6,142.53,2.39543
3,A3,1,20,141.268,2.58571
3,A6,1,8,141.115,264.587
2,A4,1,12,139.57,2.36422
3,A5,1,20,138.802,2.54058
3,A3,1,17,138.261,2.37968
1,A5,1,11,137.596,2.36687
1,A6,1,7,136.67,2.44341
2,A4,1,23,135.267,2.31223
2,B1,1,17,132.244,2.24013
3,A5,1,17,130.927,2.25345
3,B2,1,8,130.636,2.22293
2,A4,1,13,130.277,2.21305
3,B2,1,20,129.852,2.18726
3,B1,1,5,129.013,2.20532
1,A5,1,18,128.943,2.17561
1,A4,1,18,128.932,2.18526
1,A3,1,7,128.903,2.35222
3,B2,1,6,128.048,2.23727
3,A4,1,11,125.173,2.11199
2,A3,1,17,124.645,2.11619
3,B2,1,10,123.306,2.09227
3,B2,1,9,121.364,2.04199
2,B2,1,18,120.103,2.02874
3,A6,1,9,119.154,238.304
2,B2,1,16,118.928,2.10365
2,A4,1,11,118.523,2.02947
2,B3,1,17,118.379,2.01321
2,A1,1,12,117.58,2.04366
2,A6,1,20,117.324,2.05108
2,A3,1,19,116.18,2.0205
3,A6,1,10,115.906,217.321
2,B1,1,16,115.873,2.04359
3,A3,1,23,114.673,1.92833
1,A5,1,20,114.48,1.94141
2,A4,1,16,113.651,2.00441
2,A2,1,16,111.648,1.9714
2,A4,1,10,111.245,1.87805
2,A6,1,17,110.509,1.9086
3,B2,1,7,109.73,1.8504
1,A4,1,25,109.378,1.85803
3,A2,1,21,109.194,1.84135
1,A5,1,4,108.361,1.82833
3,A3,1,16,107.588,1.91095
3,B1,1,25,107.026,1.7937
3,A5,1,25,106.767,1.78937
2,B2,1,9,105.64,1.77543
3,A3,1,19,105.076,2.7151
1,A4,1,16,103.157,1.72406
3,A3,1,14,101.824,1.71322
1,A4,1,24,98.0195,1.67362
2,B3,1,16,96.6344,1.7073
1,A5,1,17,96.1716,1.61812
2,B2,1,19,95.7168,1.65789
2,B3,1,6,95.3713,1.62286
2,B1,1,8,93.993,1.57616
2,B3,1,20,93.4728,1.60788
3,A4,1,6,92.0341,1.54677
3,A6,1,16,91.8755,1.64551
3,A5,1,19,90.9379,2.34978
1,A4,1,17,89.9865,1.51236
2,A4,1,9,88.8848,1.50057
2,A1,1,6,88.747,1.51702
3,B2,1,1,87.9208,1.96982
2,B3,1,8,86.868,1.45668
2,B1,1,6,86.8423,1.4794
3,B2,1,22,85.9073,1.44867
2,A4,1,6,84.9529,1.44558
3,A2,1,20,84.9256,1.55444
3,A2,1,18,82.8546,1.41147
1,A5,1,9,81.8032,1.38023
2,A4,1,8,81.7634,1.37262
3,A2,1,17,79.873,1.37473
2,A4,1,7,79.2917,1.32667
3,A4,1,9,79.1649,1.33572
3,B2,1,19,76.6792,1.36357
2,B1,1,7,76.3088,1.27676
3,A2,1,15,75.6639,1.29191
1,A5,1,10,75.4639,1.27041
2,A1,1,11,73.9548,1.27287
3,A4,1,21,72.626,1.22608
3,A2,1,14,72.5761,1.22112
3,A4,1,8,72.2925,1.21362
3,A4,1,10,70.4445,1.18725
3,A2,1,16,70.0145,1.24358
2,A6,1,19,69.5956,1.22959
1,A5,1,19,69.148,1.16149
1,A5,1,6,69.0793,1.16033
3,A4,1,17,69.0215,1.18796
2,B3,1,9,68.8497,1.15842
2,A2,1,9,68.1602,1.14425
3,A4,1,18,67.8004,1.15502
2,B3,1,7,67.1915,1.12673
2,A2,1,18,66.3012,1.12884
3,A4,1,7,65.2621,1.18657
2,B3,1,18,65.2446,1.11022
3,A4,1,20,64.1218,1.17366
1,A5,1,1,63.7561,1.07452
3,A2,1,19,62.2995,1.61256
3,A6,1,22,59.7478,1.07394
2,A1,1,23,59.2577,0.995356
3,A2,1,10,57.8325,0.974691
3,A2,1,22,57.709,1.0373
1,A3,1,1,57.3222,0.965006
3,A5,1,16,57.252,1.01689
3,A2,1,8,56.7298,0.952362
3,A2,1,13,56.7124,0.952603
2,B1,1,9,56.5036,0.948563
3,B1,1,19,56.1541,1.45099
3,A2,1,23,54.2827,0.912813
1,A5,1,3,54.1029,0.904718
3,B2,1,16,53.4,0.899987
2,A6,1,18,52.9116,0.909122
2,B1,1,10,51.8949,0.874129
2,A2,1,17,50.3534,0.856825
3,A2,1,6,49.842,0.837669
2,A1,1,7,49.4834,0.829783
3,A2,1,12,48.5949,0.82131
1,A6,1,1,47.6558,0.802276
2,B3,1,19,47.0635,0.817063
2,A1,1,10,46.7199,0.791406
1,A5,1,8,46.7157,1.08137
1,A5,1,2,46.5202,0.78228
3,A6,1,6,46.1793,14.4308
3,A2,1,11,45.7589,0.772074
3,A2,1,25,45.5889,0.764049
3,A6,1,17,44.6227,0.768021
2,A1,1,9,40.488,0.681989
3,A2,1,7,39.6932,0.721686
3,A5,1,13,38.3312,0.643851
3,A2,1,24,37.9816,0.636199
3,A6,1,18,37.0275,0.630783
3,A6,1,7,36.9259,184.626
3,A2,1,9,36.1587,0.610092
3,A6,1,21,35.907,0.606871
1,A5,1,7,35.7166,0.638548
2,A1,1,8,35.2436,0.592321
3,A4,1,19,33.7003,0.870795
1,A6,1,2,33.1427,0.556701
3,A5,1,1,32.8434,0.585784
1,A6,1,4,32.657,0.551012
3,B1,1,18,32.2787,0.549884
1,A6,1,5,32.1692,0.545541
3,B1,1,16,32.1158,0.570432
1,A6,1,3,30.7891,0.514288
2,A1,1,21,28.1019,0.486747
2,B3,1,10,27.6639,0.467552
3,B2,1,18,25.6259,0.431891
3,A5,1,14,25.5145,0.42929
3,A5,1,5,25.2972,0.432425
3,A6,1,20,22.4299,0.410548
3,A5,1,3,21.5264,0.366923
3,A5,1,4,18.569,0.319968
3,A6,1,19,18.439,0.476452
3,B1,1,14,17.9647,0.302262
3,B2,1,17,17.2361,0.290166
3,A5,1,15,17.2069,0.293462
3,A5,1,2,15.03,0.254025
2,B2,1,10,9.31791,0.156426
3,B1,1,17,9.03685,0.155537
2,A1,1,20,8.95037,0.153257
2,A1,1,14,8.94637,0.149854
2,A1,1,13,8.01901,0.135607
2,A1,1,15,7.45055,0.125148
2,A1,1,19,7.41402,0.128121
2,A1,1,25,6.86546,0.115904
2,A1,1,17,6.37887,0.107932
2,A1,1,24,2.29104,0.0385044
2,A1,1,18,1.41005,0.0237912
2,A1,1,16,0.880095,0.0155216
1,B3,2,19,965.702,25.9129
3,B5,2,6,511.392,10.5658
1,B3,2,11,495.078,8.45791
3,B5,2,14,454.455,7.72873
3,B5,2,9,451.06,8.92587
3,B5,2,10,450.431,7.96742
1,B3,2,10,424.983,7.31458
3,B3,2,6,417.487,7.21038
3,B5,2,8,415.798,7.8998
3,B5,2,20,413.439,8.313
3,B5,2,7,413.042,9.13796
1,B6,2,14,399.851,6.87807
3,C2,2,12,399.01,6.74373
3,B5,2,23,389.716,6.67694
3,C2,2,16,382.941,6.80977
3,C3,2,12,381.181,6.4424
3,B5,2,15,377.855,6.44427
1,C3,2,11,377.115,6.64706
3,C4,2,6,376.789,6.46653
3,C3,2,10,375.659,7.79905
3,C4,2,5,370.829,6.33887
3,C4,2,15,367.585,6.26912
1,C2,2,19,367.357,6.2263
1,B6,2,21,365.596,6.95923
3,B5,2,21,360.879,6.10616
3,C5,2,6,360.003,6.05717
1,B2,2,21,356.694,6.26135
3,C2,2,6,355.332,5.99202
3,C3,2,24,352.711,5.90797
1,B3,2,17,352.47,5.92378
1,B6,2,15,351.836,6.62582
3,B4,2,6,350.905,5.89747
3,C3,2,11,348.086,5.87313
1,B6,2,24,347.004,6.69883
3,B6,2,6,344.381,6.2919
1,B6,2,2,344.38,5.79757
1,C1,2,11,342.643,6.22978
1,B6,2,25,341.249,6.23847
3,B5,2,11,339.968,5.73616
1,B6,2,3,338.702,5.67649
3,B5,2,13,338.407,5.70021
1,B6,2,13,338.306,6.17337
3,C4,2,13,337.765,5.67347
1,B6,2,23,336.699,6.39293
3,C4,2,4,336.415,5.79685
3,C3,2,14,335.73,5.65512
3,B6,2,24,335.114,5.62894
2,B5,2,13,334.434,5.82969
1,C2,2,11,332.138,6.07191
1,B5,2,23,331.468,5.91898
1,C1,2,19,330.696,5.87721
3,B5,2,25,324.825,5.44391
3,C3,2,13,322.973,5.42499
3,C2,2,13,322.903,5.42383
1,B2,2,25,322.099,5.76886
1,C3,2,21,321.89,5.63394
3,B5,2,5,319.536,5.46207
3,C2,2,11,317.786,5.36189
3,B6,2,3,315.316,5.45836
1,B2,2,23,314.092,5.49744
3,C5,2,10,313.704,5.29302
3,C4,2,14,312.996,5.26627
1,B6,2,22,312.337,6.34394
3,B6,2,5,311.838,5.43581
3,B6,2,14,310.687,5.22742
3,B5,2,4,308.874,5.32228
1,B2,2,22,306.006,5.59078
3,C2,2,14,305.071,5.13292
1,B6,2,11,303.574,6.1911
1,B6,2,1,302.947,5.16673
3,B5,2,3,302.073,5.1489
3,C3,2,15,302.035,5.15118
3,C4,2,12,301.685,5.09884
3,B5,2,12,301.557,5.09667
3,B5,2,24,301.049,5.04262
2,B5,2,12,301.028,5.19305
3,B6,2,15,300.695,5.12833
3,C5,2,9,300.503,5.07028
3,C2,2,25,299.398,5.01778
1,B2,2,14,299.008,5.1701
2,C5,2,13,298.258,5.13052
3,C5,2,13,296.506,4.98043
1,C2,2,24,296.367,5.38189
1,B6,2,12,296.27,5.88217
3,B6,2,23,293.675,4.98029
1,B5,2,25,292.939,5.3358
3,C2,2,24,292.868,4.90559
3,C4,2,3,292.513,4.98594
3,C5,2,11,291.142,4.91787
3,B5,2,22,291.069,5.23184
3,B5,2,2,290.495,4.90971
3,C5,2,14,290,4.87934
3,B5,2,1,289.363,5.16098
3,B6,2,25,288.944,4.85613
1,B5,2,22,287.632,5.40992
1,B6,2,5,287.087,4.94402
3,C2,2,15,286.179,4.88631
3,B4,2,11,283.778,4.78808
1,C1,2,18,283.636,4.9043
1,B2,2,11,283.54,5.06616
3,B6,2,2,282.445,4.77365
1,B3,2,13,282.356,4.74807
3,B6,2,13,282.069,4.73793
1,C4,2,11,281.272,5.05878
3,C3,2,23,280.966,4.75938
3,B6,2,9,280.2,5.10065
3,C3,2,25,279.745,4.68839
3,B6,2,4,279.534,4.81672
1,B3,2,14,277.818,4.6587
3,C5,2,22,276.688,4.9913
3,C2,2,23,276.685,4.65272
3,C5,2,24,276.412,4.62995
3,C3,2,22,276.398,4.98008
1,B4,2,21,274.604,5.12952
3,B6,2,1,272.418,4.87033
3,B6,2,7,272.279,5.34921
1,B3,2,12,271.415,4.56921
3,B3,2,3,271.211,4.62286
3,C3,2,5,270.404,4.62223
3,B6,2,8,270.363,5.18924
3,B6,2,11,269.823,4.57839
3,C1,2,11,269.427,4.55107
2,C5,2,11,267.871,4.6721
2,C1,2,15,267.863,4.56837
1,B5,2,14,267.736,4.75545
3,C4,2,2,266.897,4.51086
1,C1,2,25,265.723,5.10345
1,B2,2,12,265.7,4.76443
3,C5,2,3,265.181,4.52006
3,C3,2,3,264.983,4.51669
3,C5,2,16,264.904,4.70515
3,B3,2,16,264.708,4.7867
2,B5,2,15,264.63,4.5889
3,C3,2,4,264.25,4.55597
3,C1,2,10,262.938,4.43148
3,C5,2,21,262.81,4.4418
1,C4,2,24,262.447,5.05023
1,B2,2,13,262.186,4.56498
1,B6,2,4,261.834,4.56415
2,C1,2,2,261.421,4.43331
1,C4,2,21,260.832,5.13777
2,C1,2,14,260.668,4.41306
3,C5,2,25,260.223,4.36609
1,C3,2,12,260.122,4.88944
2,C1,2,3,259.643,4.38827
3,B6,2,12,258.399,4.36724
2,B6,2,18,257.905,4.48524
3,C5,2,12,257.825,4.35754
3,C5,2,8,257.73,4.32669
3,C2,2,4,257.101,4.43017
1,C1,2,10,256.823,4.43812
2,B6,2,20,256.335,4.52883
3,C3,2,21,255.992,4.31683
1,C3,2,17,255.617,4.35456
1,B5,2,21,254.611,4.69467
3,C3,2,2,252.983,4.27571
2,C5,2,12,252.937,4.32365
2,C1,2,13,252.787,4.34335
1,B5,2,20,251.87,4.48162
3,C2,2,22,251.595,4.52231
1,C3,2,24,250.777,4.6699
1,B6,2,16,250.576,4.35023
1,B4,2,15,250.553,4.74227
3,C5,2,2,250.4,4.23204
2,C1,2,22,250.329,4.39939
2,C1,2,5,249.357,4.19316
3,B6,2,10,249.263,4.35007
3,C3,2,7,249.079,4.52863
3,C2,2,1,248.315,4.42886
1,B4,2,22,247.781,4.89035
1,C3,2,23,247.372,4.62948
3,C1,2,2,246.944,4.17365
1,C4,2,10,246.826,4.34037
2,B5,2,2,245.919,4.1775
2,C1,2,24,245.451,4.17902
2,C5,2,14,245.139,4.17607
3,C1,2,5,245.086,4.19183
2,B5,2,5,244.314,4.10836
3,C4,2,16,244.046,4.45876
2,B5,2,3,243.996,4.14015
3,C5,2,4,243.951,4.20357
2,C1,2,23,243.433,4.14937
3,C2,2,3,243.371,4.14832
1,B5,2,13,241.411,4.28535
1,B4,2,14,240.405,4.36829
1,C1,2,13,239.659,4.09668
1,B5,2,24,238.878,4.39917
3,C1,2,4,238.272,4.10571
2,C1,2,1,237.549,4.16259
3,C2,2,5,237.205,4.05473
3,C2,2,21,237.161,4.0038
1,C1,2,22,236.611,4.51829
1,C3,2,20,236.079,4.01262
3,B3,2,4,235.882,4.1455
3,C1,2,12,235.524,3.98064
3,C1,2,3,235.48,4.0138
2,B5,2,11,234.81,4.06005
1,C1,2,20,234.756,4.22979
1,C1,2,5,233.718,4.08592
3,C5,2,18,233.671,3.9807
